names,urls,paths,GT
OK_000000,https://assets.vogue.com/photos/5e5e9a3cc667970009717f7a/master/pass/_FIO0820.jpg,../inputs/images/People_Yes_resized_640/OK_000511.jpg,OK
OK_000001,https://assets.vogue.com/photos/5e5e99ef02f19a0008e3584e/master/pass/_FIO0830.jpg,../inputs/images/People_Yes_resized_640/OK_000277.jpg,OK
OK_000002,https://assets.vogue.com/photos/5e5e9a61b8b636000884c6d9/master/pass/_FIO0840.jpg,../inputs/images/People_Yes_resized_640/OK_000263.jpg,OK
OK_000003,https://assets.vogue.com/photos/5e5e9a1ea173d70008c051d4/master/pass/_FIO0850.jpg,../inputs/images/People_Yes_resized_640/OK_000505.jpg,OK
OK_000004,https://assets.vogue.com/photos/5e5e99f36dd2940009098406/master/pass/_FIO0858.jpg,../inputs/images/People_Yes_resized_640/OK_000539.jpg,OK
OK_000005,https://assets.vogue.com/photos/5e5e99e97db7540009e225f1/master/pass/_FIO0867.jpg,../inputs/images/People_Yes_resized_640/OK_000288.jpg,OK
OK_000006,https://assets.vogue.com/photos/5e5e9a4752b4b100089deead/master/pass/_FIO0876.jpg,../inputs/images/People_Yes_resized_640/OK_000075.jpg,OK
OK_000007,https://assets.vogue.com/photos/5e5e9a1568562900080d5fb3/master/pass/_FIO0890.jpg,../inputs/images/People_Yes_resized_640/OK_000061.jpg,OK
OK_000008,https://assets.vogue.com/photos/5e5e99f802f19a0008e35850/master/pass/_FIO0899.jpg,../inputs/images/People_Yes_resized_640/OK_000049.jpg,OK
OK_000009,https://assets.vogue.com/photos/5e5e99e3f78aa00008185cb9/master/pass/_FIO0907.jpg,../inputs/images/People_Yes_resized_640/OK_000101.jpg,OK
OK_000010,https://assets.vogue.com/photos/5e5e9a8357f2e50008b00e21/master/pass/_FIO0917.jpg,../inputs/images/People_Yes_resized_640/OK_000115.jpg,OK
OK_000011,https://assets.vogue.com/photos/5e5e99fdd2c91d000819278f/master/pass/_FIO0927.jpg,../inputs/images/People_Yes_resized_640/OK_000129.jpg,OK
OK_000012,https://assets.vogue.com/photos/5e5e9a03a173d70008c051d2/master/pass/_FIO0937.jpg,../inputs/images/People_Yes_resized_640/OK_000465.jpg,OK
OK_000013,https://assets.vogue.com/photos/5e5e9a239e16230008101fcf/master/pass/_FIO0947.jpg,../inputs/images/People_Yes_resized_640/OK_000303.jpg,OK
OK_000014,https://assets.vogue.com/photos/5e5e9a2d9b64010008dfe6a0/master/pass/_FIO0956.jpg,../inputs/images/People_Yes_resized_640/OK_000317.jpg,OK
