,names,urls,paths,GT,img_bw
0,OK_000000,https://assets.vogue.com/photos/5e5e9a3cc667970009717f7a/master/pass/_FIO0820.jpg,../inputs/images/People_Yes_resized_640/OK_000511.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
1,OK_000001,https://assets.vogue.com/photos/5e5e99ef02f19a0008e3584e/master/pass/_FIO0830.jpg,../inputs/images/People_Yes_resized_640/OK_000277.jpg,OK,"[[ 0  0  0 ...  6  3  1]
 [ 0  0  0 ... 15 11  7]
 [ 0  0  0 ... 29 24 18]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]"
2,OK_000002,https://assets.vogue.com/photos/5e5e9a61b8b636000884c6d9/master/pass/_FIO0840.jpg,../inputs/images/People_Yes_resized_640/OK_000263.jpg,OK,"[[  0   0   0 ... 104  91  83]
 [  0   0   0 ...  87  84  84]
 [  0   0   0 ...  78  84  91]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]"
3,OK_000003,https://assets.vogue.com/photos/5e5e9a1ea173d70008c051d4/master/pass/_FIO0850.jpg,../inputs/images/People_Yes_resized_640/OK_000505.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
4,OK_000004,https://assets.vogue.com/photos/5e5e99f36dd2940009098406/master/pass/_FIO0858.jpg,../inputs/images/People_Yes_resized_640/OK_000539.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
5,OK_000005,https://assets.vogue.com/photos/5e5e99e97db7540009e225f1/master/pass/_FIO0867.jpg,../inputs/images/People_Yes_resized_640/OK_000288.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
6,OK_000006,https://assets.vogue.com/photos/5e5e9a4752b4b100089deead/master/pass/_FIO0876.jpg,../inputs/images/People_Yes_resized_640/OK_000075.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
7,OK_000007,https://assets.vogue.com/photos/5e5e9a1568562900080d5fb3/master/pass/_FIO0890.jpg,../inputs/images/People_Yes_resized_640/OK_000061.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
8,OK_000008,https://assets.vogue.com/photos/5e5e99f802f19a0008e35850/master/pass/_FIO0899.jpg,../inputs/images/People_Yes_resized_640/OK_000049.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
9,OK_000009,https://assets.vogue.com/photos/5e5e99e3f78aa00008185cb9/master/pass/_FIO0907.jpg,../inputs/images/People_Yes_resized_640/OK_000101.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
10,OK_000010,https://assets.vogue.com/photos/5e5e9a8357f2e50008b00e21/master/pass/_FIO0917.jpg,../inputs/images/People_Yes_resized_640/OK_000115.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
11,OK_000011,https://assets.vogue.com/photos/5e5e99fdd2c91d000819278f/master/pass/_FIO0927.jpg,../inputs/images/People_Yes_resized_640/OK_000129.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
12,OK_000012,https://assets.vogue.com/photos/5e5e9a03a173d70008c051d2/master/pass/_FIO0937.jpg,../inputs/images/People_Yes_resized_640/OK_000465.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
13,OK_000013,https://assets.vogue.com/photos/5e5e9a239e16230008101fcf/master/pass/_FIO0947.jpg,../inputs/images/People_Yes_resized_640/OK_000303.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
14,OK_000014,https://assets.vogue.com/photos/5e5e9a2d9b64010008dfe6a0/master/pass/_FIO0956.jpg,../inputs/images/People_Yes_resized_640/OK_000317.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
15,OK_000015,https://assets.vogue.com/photos/5e5e9a0e68562900080d5fb1/master/pass/_FIO0961.jpg,../inputs/images/People_Yes_resized_640/OK_000471.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
16,OK_000016,https://assets.vogue.com/photos/5e5e9a57a2259500099c61b2/master/pass/_FIO0972.jpg,../inputs/images/People_Yes_resized_640/OK_000459.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
17,OK_000017,https://assets.vogue.com/photos/5e5e9a77784d2e000886cd63/master/pass/_FIO0980.jpg,../inputs/images/People_Yes_resized_640/OK_000458.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
18,OK_000018,https://assets.vogue.com/photos/5e5e9a08b8b636000884c6d6/master/pass/_FIO0994.jpg,../inputs/images/People_Yes_resized_640/OK_000316.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
19,OK_000019,https://assets.vogue.com/photos/5e5e9a67a407cc0008ac348d/master/pass/_FIO1005.jpg,../inputs/images/People_Yes_resized_640/OK_000470.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20,OK_000020,https://assets.vogue.com/photos/5e5e9a6c438d4b0008d975ff/master/pass/_FIO1016.jpg,../inputs/images/People_Yes_resized_640/OK_000464.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
21,OK_000021,https://assets.vogue.com/photos/5e5e9a521a42f0000782ad00/master/pass/_FIO1024.jpg,../inputs/images/People_Yes_resized_640/OK_000302.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
22,OK_000022,https://assets.vogue.com/photos/5e5e9ae77db7540009e225f5/master/pass/_FIO1037.jpg,../inputs/images/People_Yes_resized_640/OK_000128.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
23,OK_000023,https://assets.vogue.com/photos/5e5e9a9ad2c91d0008192791/master/pass/_FIO1045.jpg,../inputs/images/People_Yes_resized_640/OK_000114.jpg,OK,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
